hex_id,wind_peak_month,wind_peak_share,wind_effective_months,wind_profile_metric
794,2,0.20486448481418548,6.0087633523517345,frequency
795,2,0.2132218055233814,6.397609413640144,frequency
796,2,0.3086672636505687,5.024779174524292,frequency
797,2,0.3086672636505687,5.024779174524292,frequency
798,2,0.27623649140073053,5.247520550189755,frequency
799,2,0.22139415388375894,5.496279516622383,frequency
881,10,0.21167884805141501,5.586829722057646,frequency
882,2,0.2651269608542772,5.4595076704333145,frequency
883,2,0.2205320501917201,6.090024441923585,frequency
884,2,0.28571003964120134,5.046182091978648,frequency
885,2,0.27432759865077844,5.470443812616154,frequency
886,2,0.25463166037946516,5.454487941173201,frequency
887,2,0.25268173853583487,5.5033500815238225,frequency
888,2,0.2762487406736848,5.243703259668895,frequency
968,12,0.2121373220794336,6.275083100366623,frequency
970,10,0.28837107720474625,5.51771963321562,frequency
973,10,0.30114328232667986,5.00663986604703,frequency
974,2,0.22097950450134785,5.612560566648042,frequency
975,2,0.20305754966729472,5.852946981610081,frequency
976,12,0.24301408643376027,5.7849609621185785,frequency
977,1,0.27818087555006776,5.363758326465519,frequency
978,1,0.23576088642646106,5.7110862410175365,frequency
979,1,0.24830856385725686,5.671012543183076,frequency
981,1,0.24976466995551552,5.488775443263821,frequency
1055,12,0.2326614408921108,5.826204099965229,frequency
1057,2,0.27500748682250026,5.121526520045429,frequency
1058,2,0.22180088564046377,5.718380295960977,frequency
1059,2,0.22221862617001473,5.626800650798745,frequency
1060,10,0.28635700215168286,4.789304439226851,frequency
1061,10,0.2514909878428392,5.499095279278239,frequency
1062,2,0.2789540109222585,5.016019453732027,frequency
1063,2,0.2529464367945857,5.512535239990012,frequency
1064,2,0.20305754966729472,5.852946981610081,frequency
1065,1,0.2826169302983921,4.866165960162091,frequency
1066,1,0.24660147821010875,5.837555891834068,frequency
1067,2,0.24082535720730838,5.704581048553923,frequency
1068,1,0.2603231833487664,5.52026877844242,frequency
1069,1,0.3135824460761515,5.247573808509459,frequency
1142,12,0.2110507537177113,6.383396295923427,frequency
1143,2,0.2967453018314679,5.224762295556466,frequency
1144,2,0.3634469834412632,4.599320482405309,frequency
1145,2,0.33881143184595763,4.9923531749451895,frequency
1146,2,0.2767764890606536,5.46241450228507,frequency
1147,2,0.3021768874076992,5.298437000025961,frequency
1148,10,0.22648022295833545,5.75566882309896,frequency
1149,10,0.22648022295833545,5.75566882309896,frequency
1150,10,0.25670418459721944,5.588785056141938,frequency
1151,2,0.24082535720730838,5.130253353128213,frequency
1152,1,0.27503957366525983,5.242051036610223,frequency
1153,1,0.2475868590313732,4.925024970923509,frequency
1154,2,0.28230449195387436,5.138179379342252,frequency
1155,1,0.276422599929897,5.25035696477623,frequency
1156,1,0.34525966981352024,4.649244473794496,frequency
1157,1,0.39690520501891097,4.196515313258211,frequency
1225,2,0.2907839023752987,5.101830296725701,frequency
1226,2,0.2844854745243301,5.252123868025683,frequency
1228,3,0.21146591689115773,6.714190938543738,frequency
1230,2,0.23674902490026548,5.706798637375019,frequency
1231,2,0.3653225356604969,4.368284586163347,frequency
1232,2,0.3507324691695593,4.955909118754018,frequency
1235,1,0.225833264541032,5.496603378437369,frequency
1236,10,0.2326614408921108,6.182086459975615,frequency
1237,10,0.30880186894840944,5.554822619241955,frequency
1238,10,0.30880186894840944,5.554822619241955,frequency
1239,2,0.2304708817338427,5.675522226100067,frequency
1240,1,0.24660147821010878,5.241236203505219,frequency
1241,12,0.25843679256126345,5.221146584928909,frequency
1242,12,0.29781491570062635,4.577838051673125,frequency
1243,12,0.3234433015911844,4.071489731692911,frequency
1244,1,0.37245254850779547,4.015924883368836,frequency
1245,1,0.25156931561476964,5.614666979856607,frequency
1312,12,0.20293132323926233,6.581361628048259,frequency
1313,2,0.29353579971439386,4.965766415124491,frequency
1314,1,0.36813436106313324,3.9570325594932756,frequency
1315,2,0.2768010845764836,4.872544601108208,frequency
1316,2,0.22159733312789034,5.752517760839527,frequency
1317,2,0.2413066953113264,5.728131594085176,frequency
1319,2,0.3653225356604969,4.368284586163347,frequency
1321,1,0.2770816234380184,4.9449891266233506,frequency
1323,2,0.26536977431828995,5.569114628555239,frequency
1324,2,0.3359696940656516,4.79464130662193,frequency
1325,10,0.22398517006350946,5.553206577263743,frequency
1326,2,0.2642845258523284,5.471531025745143,frequency
1327,2,0.22097950450134782,6.087388523380252,frequency
1328,10,0.21593393822227233,5.818241331161559,frequency
1329,1,0.31121894577450704,4.512593690906924,frequency
1330,12,0.32360195524462976,3.795530430569795,frequency
1331,1,0.4281735901601299,3.3963870855392884,frequency
1332,1,0.3338001628894546,4.498113797970433,frequency
1400,2,0.2309219519604227,5.626565514352891,frequency
1403,1,0.21611536613350854,6.536341783883249,frequency
1404,12,0.25236597165063324,6.08671282585741,frequency
1406,2,0.28920786574740337,5.289255171607854,frequency
1407,2,0.3522935678585566,4.457664393414628,frequency
1409,2,0.3653225356604969,4.530704201413556,frequency
1410,2,0.24494528241542785,5.760869486371663,frequency
1411,2,0.3024923465007076,5.206686968004499,frequency
1412,2,0.20239948223388265,5.858813580367431,frequency
1415,2,0.26457410529887804,5.625299379589583,frequency
1416,2,0.2779756684769584,5.775616307607265,frequency
1417,2,0.3097076656466757,5.484090684312604,frequency
1418,1,0.23052023838003854,5.4798935623091225,frequency
1419,1,0.2838329523134881,5.073931831961487,frequency
1438,2,0.26438995810875576,5.258768878086131,frequency
1491,2,0.19347966264909655,6.332617254930596,frequency
1494,2,0.33816007792695246,4.72275987371623,frequency
1495,2,0.26611225744813743,5.012975651647174,frequency
1496,2,0.2895237231603676,4.852744466849366,frequency
1497,2,0.2660724777179144,4.949576905869197,frequency
1498,2,0.21280009837693062,5.930106239388144,frequency
1499,2,0.2883177794270782,4.8398031684354095,frequency
1503,2,0.2880444956683936,5.498803703213181,frequency
1504,2,0.22670347129150503,6.031072943757143,frequency
1505,10,0.30652630913430384,4.487012763458634,frequency
1506,12,0.2790851624926696,5.275233714788711,frequency
1525,1,0.37140404946748334,4.032951928925273,frequency
1526,1,0.2603231833487664,5.3667135376954365,frequency
1578,2,0.28271766254854336,5.377949669162326,frequency
1579,2,0.3069465467612191,5.268509413204688,frequency
1581,10,0.25878769580802763,5.397598407445947,frequency
1582,2,0.3378643492891961,4.723425766472405,frequency
1583,1,0.23993617774144724,4.869948129373923,frequency
1584,2,0.30268340893900825,4.425879460082698,frequency
1585,10,0.24362759261818318,5.612000073738959,frequency
1586,11,0.2030365443270194,6.668903018796936,frequency
1587,1,0.24888896418144754,5.716251508955222,frequency
1589,1,0.2990129012562047,4.915038383743855,frequency
1592,2,0.21194868820341498,6.380307301300019,frequency
1593,2,0.22707532282799545,5.375859652997091,frequency
1594,1,0.33303388898450587,4.406398347903499,frequency
1613,1,0.2742864610667768,4.5198882759933365,frequency
1614,1,0.30905846925776886,4.603652873988833,frequency
1615,1,0.2085480105989233,6.81846938987472,frequency
1618,1,0.34769322081332216,4.781901285867186,frequency
1666,2,0.28545755688028485,5.522790682133683,frequency
1667,2,0.21966501558132062,6.449536310390459,frequency
1668,10,0.24341748458348614,5.537486817048557,frequency
1669,2,0.2655038751056371,5.4724970828542965,frequency
1670,10,0.29023652588190546,4.656612452683987,frequency
1671,2,0.2886450678217593,4.440767808135246,frequency
1672,2,0.25322404111544683,4.742075161170132,frequency
1674,2,0.35169880353480965,4.6993177602192215,frequency
1675,2,0.23160704385735356,5.426746965724423,frequency
1676,1,0.24827209382234816,5.262522705401804,frequency
1679,12,0.21512983514856873,6.229899889532279,frequency
1680,2,0.3496649967842649,3.8817064594543043,frequency
1681,1,0.2983367449136533,5.038146709540056,frequency
1700,1,0.39651969645222285,3.8262599138713367,frequency
1701,12,0.2297770594981943,6.058798072834523,frequency
1702,1,0.20904367164320686,6.5860906997834565,frequency
1703,1,0.20955304067840935,6.1329156984685165,frequency
1754,2,0.31010541544437153,4.96196871703993,frequency
1755,10,0.23175855904089027,5.594281624128381,frequency
1756,1,0.2474582222505422,5.499506664714098,frequency
1757,2,0.23137479128982888,5.444392618846602,frequency
1762,2,0.2507851764575931,5.220695649895209,frequency
1763,2,0.24180122314952768,5.6987177075707445,frequency
1766,1,0.24945367648214817,5.431218239376276,frequency
1767,2,0.23488565049793195,6.137029089969947,frequency
1768,2,0.25134217429579025,5.363467804352615,frequency
1788,1,0.3320158996005012,4.009838598680841,frequency
1789,12,0.3088162698909198,4.89513989060351,frequency
1790,1,0.21009104342437676,6.1646348260712145,frequency
1792,1,0.30228466888276956,5.280024617018404,frequency
1793,12,0.32420452557524987,4.823388395955578,frequency
1794,1,0.27079502839874753,5.5434171202009095,frequency
1841,2,0.26523137262842766,5.502141860405518,frequency
1842,1,0.31654610237524294,4.33159548530501,frequency
1843,2,0.33272824262509065,4.570521350327171,frequency
1844,2,0.23616117431518394,5.97733296734471,frequency
1850,1,0.23626753579526874,5.558095879045021,frequency
1851,1,0.33001228309229674,4.184493535401261,frequency
1852,1,0.2922187705116692,4.9097038691465205,frequency
1853,1,0.37245254850779547,3.5909137847567383,frequency
1854,1,0.28267600665581116,5.195038130945008,frequency
1855,11,0.2697440123341928,4.799994345921525,frequency
1876,12,0.4028082127761219,3.2275191276548294,frequency
1877,12,0.2957679888796413,5.102758902257024,frequency
1878,1,0.22611608746062528,6.04827897274394,frequency
1880,1,0.3035350523696279,5.002260966063121,frequency
1881,1,0.3142593603843466,4.689629587734256,frequency
1930,2,0.3398452374964973,3.977195809235859,frequency
1931,1,0.3535919782857488,3.5681143675092435,frequency
1932,1,0.2805673943751629,5.5934324846700765,frequency
1936,2,0.38760758747803375,3.9449765044008727,frequency
1937,2,0.36981787719896997,4.390314600071775,frequency
1938,2,0.3117628405351746,4.947677450472264,frequency
1939,1,0.24976466995551552,5.393029932261026,frequency
1940,10,0.25610651537721996,5.600799234693838,frequency
1941,2,0.31601862557508975,5.002709944415207,frequency
1942,2,0.329168148709463,4.629213317628585,frequency
1943,1,0.4031443469227013,3.796327668574199,frequency
1953,12,0.28097703741132535,5.227459691079747,frequency
1954,12,0.2940767263814938,5.498422148850509,frequency
1964,12,0.32451988443591384,4.622864075265944,frequency
1965,12,0.3264585817493161,4.8432461136502045,frequency
1969,1,0.2832967911956064,4.814955136591294,frequency
2017,11,0.3068498811860729,4.624702653564097,frequency
2018,1,0.34084830778814856,3.683107860735433,frequency
2019,1,0.4269063749414809,3.158293466512011,frequency
2022,1,0.288831054545795,5.40558504537698,frequency
2023,2,0.3338963198460589,4.565710146513194,frequency
2024,2,0.3876282598289175,4.01444768832196,frequency
2025,2,0.31778379952074887,4.761025651081582,frequency
2026,2,0.25295876183905835,5.146207778433558,frequency
2027,2,0.28835781567430535,4.954956178465516,frequency
2028,1,0.4652196944079031,3.2079071008966307,frequency
2029,1,0.39286227165360177,3.7937034509984486,frequency
2030,1,0.25771979083987817,5.321630353928309,frequency
2040,12,0.24334557820141606,6.100153555203785,frequency
2041,12,0.32643980636591013,5.3219459451979,frequency
2042,12,0.32608129080640086,5.069062221904274,frequency
2046,12,0.29427235328897067,4.786484845963835,frequency
2056,1,0.3317165973282043,3.8359231935080076,frequency
2057,12,0.49138732415555875,2.5496912262613107,frequency
2108,1,0.41148389385598294,4.006456950154044,frequency
2109,1,0.3714380541216533,4.667434897265514,frequency
2110,2,0.33272824262509065,4.570521350327171,frequency
2111,2,0.3129704067622781,4.491832440816251,frequency
2112,2,0.33789183710827453,4.261908039273437,frequency
2113,1,0.2825578786285071,4.805177931658415,frequency
2114,2,0.30697247507954,4.867914359857026,frequency
2115,2,0.3327282426250906,4.700375880292757,frequency
2116,2,0.4362771020624009,3.1739048879702687,frequency
2117,2,0.4362771020624009,3.1739048879702687,frequency
2127,12,0.26046102460918846,5.8464683088333365,frequency
2128,12,0.24386022959743037,6.155662160060023,frequency
2129,12,0.3505239422872713,4.52565094647129,frequency
2133,12,0.32342400455530124,4.4075700800586395,frequency
2134,12,0.2899961930491683,4.283021955518665,frequency
2136,12,0.3377924091202035,3.827472631854485,frequency
2137,12,0.3220801598526035,4.375793075267722,frequency
2143,1,0.303556123542196,4.567005148986155,frequency
2144,12,0.37792752475302654,3.4414392180299234,frequency
2145,12,0.40104018570313354,3.2352508111069396,frequency
2147,12,0.42350834431815354,2.9309302714768926,frequency
2194,1,0.47333439842384284,3.513219986564278,frequency
2195,1,0.4503315543718517,3.6774396899451194,frequency
2196,1,0.3167332973688899,5.056700825109233,frequency
2197,1,0.32985057251432326,4.889508679942206,frequency
2198,2,0.36641300219593886,4.1062183123638905,frequency
2199,2,0.29596588928319223,5.137767401301593,frequency
2200,2,0.40209729110918213,3.5149487997836366,frequency
2203,2,0.26563002112186096,5.711240143090331,frequency
2204,1,0.49713407925750136,3.0875718083951567,frequency
2205,1,0.29416508618052584,4.621155504532853,frequency
2214,12,0.2430642159289595,6.7292919229813775,frequency
2215,12,0.23105430365894558,6.417624881220691,frequency
2216,10,0.2096973159327465,6.640484153814557,frequency
2217,11,0.2560832117970303,5.163766907754383,frequency
2221,1,0.24776717536987844,5.156365290412171,frequency
2222,12,0.40108106431209933,3.4579902757083385,frequency
2224,2,0.301219880370587,4.423335780985167,frequency
2225,2,0.3356516224738693,4.712069086995189,frequency
2226,12,0.23026925104608473,5.571271043129582,frequency
2229,1,0.22030095440143727,5.792647710856565,frequency
2231,12,0.3510583573650058,3.9520183712906554,frequency
2232,1,0.3446620500299763,3.7823411158329794,frequency
2233,1,0.39142597763984965,3.1820661614417776,frequency
2234,1,0.38396852169578227,3.7564326033747677,frequency
2235,1,0.4067475483798799,3.6284465757578257,frequency
2236,1,0.5019797281676259,2.9186483127396303,frequency
2282,1,0.26008235039568844,6.328634533579849,frequency
2283,1,0.24810764559964274,6.50066198804584,frequency
2284,1,0.19043648084617312,7.663492104143526,frequency
2285,1,0.34919035022469486,4.287638271140607,frequency
2286,2,0.35043406380446385,4.2697901053155745,frequency
2287,2,0.43463345605577036,3.504552728816951,frequency
2289,2,0.39270372408957993,3.8898585185095733,frequency
2290,1,0.36912304101367127,3.5084373109885187,frequency
2291,2,0.22634928258921883,5.6873852568983905,frequency
2292,1,0.47097154639664873,3.1139400886259594,frequency
