hex_id,geometry,pred_peak_month,pred_peak_share,area_weight_km2,wind_peak_month,wind_peak_share,wind_profile_metric,circular_peak_month_difference,signed_peak_month_shift,peak_month_share_difference,abs_peak_month_share_difference
1155,"POLYGON ((2906141.7032746365 2308969.327080635, 2877274.613211453 2308969.327078297, 2862841.068181281 2333968.9604124664, 2877274.6132142763 2358968.593748868, 2906141.703277404 2358968.593751171, 2920575.24830759 2333968.9604170993, 2906141.7032746365 2308969.327080635))",1,0.6699814535050956,2164.999999979261,1,0.276422599929897,frequency,0,0,0.39355885357519865,0.39355885357519865
1156,"POLYGON ((2906141.703277404 2358968.593751171, 2877274.6132142763 2358968.593748868, 2862841.0681841243 2383968.2270828267, 2877274.6132170837 2408967.8604199872, 2906141.7032801555 2408967.860422255, 2920575.248310323 2383968.2270873967, 2906141.703277404 2358968.593751171))",1,0.3605877147769296,2165.0000000225523,1,0.3452596698135202,frequency,0,0,0.015328044963409393,0.015328044963409393
1157,"POLYGON ((2906141.7032801555 2408967.860422255, 2877274.6132170837 2408967.8604199872, 2862841.06818695 2433967.493753732, 2877274.613219873 2458967.1270896457, 2906141.703282889 2458967.1270918753, 2920575.2483130386 2433967.493758235, 2906141.7032801555 2408967.860422255))",1,0.4542597590129734,2164.999999979261,1,0.3969052050189109,frequency,0,0,0.057354553994062474,0.057354553994062474
1228,"POLYGON ((2949442.33833179 1583979.9603147919, 2920575.2482679393 1583979.9603124287, 2906141.7032371927 1608979.5936485557, 2920575.2482703105 1633979.2269870823, 2949442.3383341213 1633979.226989458, 2963875.8833648562 1608979.5936532973, 2949442.33833179 1583979.9603147919))",1,0.1931431985430457,2164.9999999792512,3,0.2114659168911577,frequency,2,-2,-0.018322718348112,0.018322718348112
1230,"POLYGON ((2949442.3383365143 1683978.4936650414, 2920575.248272745 1683978.4936626495, 2906141.7032421017 1708978.1269986767, 2920575.248275237 1733977.7603381022, 2949442.3383389646 1733977.7603405023, 2963875.8833695995 1708978.1270034665, 2949442.3383365143 1683978.4936650414))",12,0.2756114424787511,2165.0000000225523,2,0.2367490249002654,frequency,2,-2,0.038862417578485686,0.038862417578485686
1231,"POLYGON ((2949442.3383389646 1733977.7603405023, 2920575.248275237 1733977.7603381022, 2906141.7032446433 1758977.3936740553, 2920575.2482777825 1783977.0270124075, 2949442.338341465 1783977.027014809, 2963875.883372054 1758977.393678861, 2949442.3383389646 1733977.7603405023))",2,0.2989910278739434,2164.999999979252,2,0.3653225356604969,frequency,0,0,-0.0663315077865535,0.0663315077865535
1232,"POLYGON ((2949442.338341465 1783977.027014809, 2920575.2482777825 1783977.0270124075, 2906141.7032472347 1808976.6603482636, 2920575.248280375 1833976.2936875222, 2949442.3383440105 1833976.2936899234, 2963875.883374556 1808976.6603530808, 2949442.338341465 1783977.027014809))",10,0.2067380759205471,2165.000000022563,2,0.3507324691695593,frequency,4,-4,-0.1439943932490122,0.1439943932490122
1235,"POLYGON ((2949442.338349213 1933974.8270384553, 2920575.2482856726 1933974.827036058, 2906141.703255251 1958974.4603715618, 2920575.2482883683 1983974.0937094209, 2949442.3383518597 1983974.0937118146, 2963875.883382282 1958974.4603763488, 2949442.338349213 1933974.8270384553))",10,0.3164022374727652,2164.999999979252,1,0.225833264541032,frequency,3,-3,0.09056897293173319,0.09056897293173319
1236,"POLYGON ((2949442.3383518597 1983974.0937118146, 2920575.2482883683 1983974.0937094209, 2906141.703257985 2008973.7270447828, 2920575.2482910883 2033973.3603834824, 2949442.338354527 2033973.3603858578, 2963875.8833849155 2008973.7270495521, 2949442.3383518597 1983974.0937118146))",11,0.3591201813991543,2165.000000022563,10,0.2326614408921108,frequency,1,1,0.1264587405070435,0.1264587405070435
1237,"POLYGON ((2949442.338354527 2033973.3603858578, 2920575.2482910883 2033973.3603834824, 2906141.7032607384 2058972.9937186837, 2920575.248293825 2083972.6270562108, 2949442.338357213 2083972.627058574, 2963875.8833875675 2058972.9937234295, 2949442.338354527 2033973.3603858578))",3,0.3033855696650155,2164.999999979252,10,0.3088018689484094,frequency,5,5,-0.005416299283393877,0.005416299283393877
