hex_id,pred_peak_month,pred_peak_share,area_weight_km2,wind_peak_month,wind_peak_share,wind_profile_metric,circular_peak_month_difference,signed_peak_month_shift,peak_month_share_difference,abs_peak_month_share_difference
794,11,0.1974305587963225,2164.9999999792517,2,0.20486448481418548,frequency,3,-3,-0.007433926017862996,0.007433926017862996
795,7,0.1811129594026909,2165.000000022563,2,0.2132218055233814,frequency,5,5,-0.03210884612069051,0.03210884612069051
796,1,0.369153134819733,2164.9999999792517,2,0.3086672636505687,frequency,1,-1,0.06048587116916432,0.06048587116916432
797,12,0.4332332655876096,2165.000000022563,2,0.3086672636505687,frequency,2,-2,0.12456600193704093,0.12456600193704093
798,2,0.4578833333429112,2164.9999999792517,2,0.27623649140073053,frequency,0,0,0.18164684194218067,0.18164684194218067
799,2,0.268888532028283,2165.000000022563,2,0.22139415388375894,frequency,0,0,0.04749437814452406,0.04749437814452406
881,12,0.3468804308613709,2164.9999999792512,10,0.21167884805141501,frequency,2,2,0.13520158280995587,0.13520158280995587
882,12,0.4088506346926753,2165.0000000225623,2,0.2651269608542772,frequency,2,-2,0.14372367383839807,0.14372367383839807
883,4,0.2737225163638789,2164.9999999792512,2,0.2205320501917201,frequency,2,2,0.05319046617215881,0.05319046617215881
884,1,0.2782547505346384,2165.0000000225623,2,0.28571003964120134,frequency,1,-1,-0.007455289106562957,0.007455289106562957
885,6,0.2912347287798743,2164.9999999792512,2,0.27432759865077844,frequency,4,4,0.016907130129095838,0.016907130129095838
886,2,0.5826381904845304,2165.0000000225623,2,0.25463166037946516,frequency,0,0,0.3280065301050652,0.3280065301050652
887,12,0.3329803914383458,2164.9999999792512,2,0.25268173853583487,frequency,2,-2,0.08029865290251093,0.08029865290251093
888,2,0.1667523197233003,2165.0000000225523,2,0.2762487406736848,frequency,0,0,-0.10949642095038453,0.10949642095038453
968,11,0.3696540353284364,2165.000000022563,12,0.2121373220794336,frequency,1,-1,0.1575167132490028,0.1575167132490028
970,2,0.2930677244997424,2165.000000022563,10,0.28837107720474625,frequency,4,4,0.004696647294996137,0.004696647294996137
973,11,0.3714363246365907,2164.9999999792517,10,0.30114328232667986,frequency,1,1,0.07029304230991085,0.07029304230991085
974,8,0.2514082296433366,2165.000000022563,2,0.22097950450134785,frequency,6,6,0.030428725141988744,0.030428725141988744
975,2,0.6856319346324119,2165.0000000225527,2,0.20305754966729472,frequency,0,0,0.4825743849651172,0.4825743849651172
