metric,weighted_mean,weighted_median,weighted_p25,weighted_p75
Circular peak-month difference,2.036209335219327,2.0,1.0,3.0
Signed peak-month shift,0.07637906647820887,0.0,-1.0,2.0
Prediction peak-month share,0.3057271070218484,0.2752121753590313,0.2186907609676738,0.3601694214352124
Wind-anomaly peak-month share,0.26801554647606074,0.259899165610166,0.2240822131637949,0.30186208559259137
Peak-month share difference,0.03771156054578765,0.01831860869343832,-0.04115029669932935,0.09799185088949014
Absolute peak-month share difference,0.09172922489421523,0.06622181204531474,0.029920773110798576,0.12231626059159578
